,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
0,-2199.1083646447505,PNMT,1,2,"['PNMT', 91, 148, 717, 4141, 3.5511232990312496]",-2199.1083646447505,1
1,-2018.638821425126,PHB,2,0,"['PHB', 24, 17, 693, 4124, 8.401324]",-2018.638821425126,1
2,-1973.456498677544,PTEN,3,0,"['PTEN', 134, 438, 559, 3686, 2.0173173]",-1973.456498677544,1
3,-1645.1190106977904,UNC93B1,4,0,"['UNC93B1', 40, 81, 519, 3605, 3.4301481]",-1645.1190106977904,1
4,-1551.9662076805585,CA12,5,0,"['CA12', 14, 8, 505, 3597, 12.464851]",-1551.9662076805585,1
5,-1523.974560320696,USP10,6,0,"['USP10', 15, 13, 490, 3584, 8.43956]",-1523.974560320696,1
6,-1490.9045369279224,NPBWR1,7,0,"['NPBWR1', 34, 74, 456, 3510, 3.5366285]",-1490.9045369279224,1
7,-1411.582813131684,GSPT2,8,0,"['GSPT2', 14, 16, 442, 3494, 6.9168553]",-1411.582813131684,1
8,-1380.4728447324053,CELA1,9,0,"['CELA1', 12, 13, 430, 3481, 7.47263]",-1380.4728447324053,1
9,-1352.3615412811805,BRAF,10,0,"['BRAF', 1, 147, 429, 3334, 0.052867763]",-1352.3615412811805,1
10,-1333.5081898823582,PKNOX1,11,0,"['PKNOX1', 8, 4, 421, 3330, 15.819477]",-1333.5081898823582,1
11,-1315.6989385421618,TP53,12,0,"['TP53', 132, 1473, 289, 1857, 0.575818]",-1315.6989385421618,1
12,-846.4128867350455,GATA3,13,0,"['GATA3', 26, 49, 263, 1808, 3.647707]",-846.4128867350455,1
13,-787.763953943652,IAH1,14,0,"['IAH1', 6, 1, 257, 1807, 42.18677]",-787.763953943652,1
14,-775.5288380097799,CLK2,15,0,"['CLK2', 20, 36, 237, 1771, 4.15143]",-775.5288380097799,1
15,-729.8788363694553,RAP1GDS1,16,0,"['RAP1GDS1', 6, 2, 231, 1769, 22.974028]",-729.8788363694553,1
16,-717.5874828309476,TMEM201,17,0,"['TMEM201', 4, 0, 227, 1769, inf]",-717.5874828309476,1
17,-709.4796824714385,MBTD1,18,0,"['MBTD1', 8, 7, 219, 1762, 9.195043]",-709.4796824714385,1
18,-691.3363722515951,ENTPD7,19,0,"['ENTPD7', 6, 3, 213, 1759, 16.516432]",-691.3363722515951,1
19,-677.9022029392206,AADACL4,20,0,"['AADACL4', 7, 5, 206, 1754, 11.920388]",-677.9022029392206,1
20,-662.6752418135006,CHIC2,21,0,"['CHIC2', 6, 4, 200, 1750, 13.125]",-662.6752418135006,1
